Game_ID;Name;Genre;Publisher;Platform;Release_date;Cover_url;Description
11;Vampire: The Masquerade - Bloodlines;Role-playing (RPG);Troika Games;PC;2004-11-16;https://images.igdb.com/igdb/image/upload/t_cover_big/co2n14.jpg;A first- and third-person Western RPG based on the Vampire: The Masquerade tabletop RPG with a heavy emphasis on character building and role-playing, in which the player embodies a fledgling vampire under the guidance of vampire prince Sebastian LaCroix. The player must serve the prince while getting to know the various factions of vampires in Los Angeles and forming their own political views.
12;Vampire: The Masquerade - Redemption;Role-playing (RPG);Nihilistic Software;PC;2000-06-7;https://images.igdb.com/igdb/image/upload/t_cover_big/co1pmn.jpg;Vampire: The Masquerade – Redemption is a 2000 role-playing video game based on White Wolf's game Vampire: The Masquerade and follows the adventures of Christof Romuald, a 12th-century French crusader who is killed and subsequently revived as a Vampire. The game depicts Christof's centuries-long journey from the Dark Ages of 12th century Prague and Vienna to modern-day London and New York City in search of his humanity and his kidnapped love, the nun Anezka.
13;Fallout;Role-playing (RPG);Edusoft;PC;1997-09-30;https://images.igdb.com/igdb/image/upload/t_cover_big/co1ybn.jpg;The Vault Dweller is tasked with exploring post-nuclear California in order to retrieve a water chip to replace the broken chip of Vault 13, their home, which they are the first person to ever leave. The player will engage in Western RPG character building and turn-based tactical combat while getting to know settlements and factions of people, mutants and ghouls through branching dialogue trees.
14;Fallout 2;Puzzle;Black Isle Studios;PC;1998-10-29;https://images.igdb.com/igdb/image/upload/t_cover_big/co50kv.jpg;A turn-based tactical Western RPG in which the Chosen One is tasked with exploring post-nuclear California to locate and retrieve the fabled Garden of Eden Creation Kit for their famine-stricken tribe, while coming into contact through branching dialogue trees with numerous tribes, factions and micro-civilizations, each with their own virtues, vices, socioeconomic situations and political agendas.
15;Fallout 3;Shooter;Bethesda Game Studios;PC;2008-10-28;https://images.igdb.com/igdb/image/upload/t_cover_big/co1ycw.jpg;Fallout 3 from the creators of the award-winning Oblivion, featuring one of the most realized game worlds ever created. Create any kind of character you want and explore the open wastes of post-apocalyptic Washington D.C. Every minute is a fight for survival as you encounter Super Mutants, Ghouls, Raiders and other dangers of the Wasteland. Prepare for the future.The third game in the Fallout series, Fallout 3 is a singleplayer action role-playing game (RPG) set in a post-apocalyptic Washington DC. Combining the horrific insanity of the Cold War era theory of mutually assured destruction gone terribly wrong, with the kitschy naivety of American 1950s nuclear propaganda, Fallout 3 will satisfy both players familiar with the popular first two games in its series as well as those coming to the franchise for the first time.
16;Fallout: New Vegas;Shooter;Obsidian Entertainment;PC;2010-10-19;https://images.igdb.com/igdb/image/upload/t_cover_big/co1u60.jpg;In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.
17;Fallout Tactics: Brotherhood of Steel;Role-playing (RPG);Micro Forté;PC;2001-03-15;https://images.igdb.com/igdb/image/upload/t_cover_big/co1ybr.jpg;"This is a Tactical Squad-Based Combat comes to the Fallout Universe. You are the wretched refuse. You may be born from dirt, but we will forge you into steel. You will learn to bend; if not you, will you break. In these dark times, the Brotherhood - your Brotherhood - is all that stands between the rekindled flame of civilization and the howling, radiated wasteland.Your weapons will become more than your tools, they will become your friends. You will use your skills to inspire the lowly and protect the weak... whether they like it or not. Your squadmates will be more dear to you than your kin and for those that survive there will be honor, respect and the spoils of war."
18;Max Payne;Shooter;Gathering of Developers;PC;2001-07-23;https://images.igdb.com/igdb/image/upload/t_cover_big/co3wb2.jpg;Max Payne, gritty ex-cop and titular hero of this third-person shooter, sets out on his own to take revenge on those who murdered his wife and child, only for the plot he's involved in to get deeper and deeper. As his guilt and trauma build, Payne finds himself in more and more impossibly unfavourable and astounding situations, which challenge his methods, his worldview, and even his existence.
19;Max Payne 2: The Fall of Max Payne;Shooter;Remedy Entertainment;PC;2003-10-14;https://images.igdb.com/igdb/image/upload/t_cover_big/co2lcl.jpg;Max Payne 2 is a third-person shooter, in which the player assumes the role of Max Payne, but also plays as Mona Sax in a few levels. Initially, the player's weapon is a 9mm pistol. As they progress, players access other weapons including other handguns, shotguns, submachine guns, assault rifles, sniper rifles, and hand-thrown weapons. To move the game along, the player is told what the next objective is through Max's internal monologue, in which Max iterates what his next steps should be.
20;BioShock;Shooter;Demiurge Studios;PC;2007-08-21;https://images.igdb.com/igdb/image/upload/t_cover_big/co2mli.jpg;BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.
21;BioShock 2;Shooter;2K Games;PC;2010-02-9;https://images.igdb.com/igdb/image/upload/t_cover_big/co2mlj.jpg;BioShock 2 is the second game of the BioShock series and the sequel to BioShock. It continues the grand storyline of the underwater metropolis Rapture. BioShock 2 capitalizes and improves upon the high-quality effects, unique gameplay elements, and immersive atmosphere that defined the first game. It explores more brutal gameplay than its predecessor, with new enemies, weapons, Plasmids, and Gene Tonics.
22;System Shock 2;Shooter;Irrational Games;PC;1999-08-11;https://images.igdb.com/igdb/image/upload/t_cover_big/co4bak.jpg;A first-person cyberpunk exploratory horror RPG and sequel to System Shock (1994) in which a soldier wakes up in the starship Van Braun in the aftermath of a disaster and finds himself in the midst of a conflict between SHODAN, the artificial intelligence antagonist of System Shock seeking mastery over humanity, and The Many, a flesh-based psychic hive mind led by the ship's corrupted AI.
23;System Shock;Shooter;Looking Glass Studios;DOS;1994-09-22;https://images.igdb.com/igdb/image/upload/t_cover_big/co4e44.jpg;A seminal cyberpunk first-person exploratory adventure game with RPG elements in which, waking up in the Citadel Space Station, a lone hacker has to survive corrupted enemies and collect audio logs and equipment from former station workers in order to shut down SHODAN, the station's artificial intelligence that has killed everyone on board and now intends to destroy the world.
24;X-COM: UFO Defense;Strategy;Spectrum HoloByte, Inc.;PC;1994-03-31;https://images.igdb.com/igdb/image/upload/t_cover_big/co6ypb.jpg;You are in control of X-COM: an organization formed by the world's governments to fight the ever-increasing alien menace.Shooting down UFOs is just the beginning: you must then lead a squad of heavily-armed soldiers across different terrains as they investigate the UFO crash site. Tackle the aliens with automatic rifles, rocket launchers, and even tanks in the struggle to retrieve useful technology, weapons or life forms.Successful ground assault missions will allow X-COM scientists to analyze alien items. Each new breakthrough brings you a little closer to understanding the technology and culture of the alien races. Once you have sufficient research data on the UFO's superior weapons and crafts, you'll be able to manufacture weapons of equal capability.You must make every crucial decision as you combat the powerful alien forces. But you'll also need to watch the world political situation: governments may be forced into secret pacts with the aliens and then begin to reduce X-COM funding.
25;X-COM: Terror From the Deep;Strategy;Hasbro Interactive;PC;1995-01-1;https://images.igdb.com/igdb/image/upload/t_cover_big/co2abe.jpg;The war continues...X-COM: UFO Defense brought you to a galactic battlefield. X-COM: Terror from the Deep brings the alien terror into a totally new dimension. Seeking to take advantage of a weakened Earth, X-COM's deep space foes unexpectedly change strategy and launch a powerful second front against planet Earth. In the dark depths of vast oceans, long sleeping forces are awakened by reanimation signals sent out across the galactic silence by their interstellar brothers and sisters. Slowly but surely, an army of hibernating alien sea creatures awakens. Your combat now extends to the strange new worlds of the deep where superior alien technologies threaten the very survival of your planet earth.
26;X-COM: Apocalypse;Real Time Strategy (RTS);MicroProse Software, Inc.;PC;1997-06-30;https://images.igdb.com/igdb/image/upload/t_cover_big/co2g7i.jpg;Your mission, as X-COM Commander, is to combat alien aggression and uncover their deadly intentions. But Beware! Alien infiltration into the city and its politics could see you under fire from criminal gangs, religious sects, and even the police! Alien fleets fill the skies, creatures terrorise the city, chaos reigns... Welcome to the war, welcome to the Apocalypse.
27;X-COM: Interceptor;Real Time Strategy (RTS);MicroProse Software, Inc.;PC;1998-06-15;https://images.igdb.com/igdb/image/upload/t_cover_big/co2cpk.jpg;They're back...only this time the heinous aliens are out to destroy Earth and rule the new frontier. As X-COM commander, it's your sole duty to protect humanity and the prized mining operations in outer space. You must strategically equip your X-COM fighters, amass a formidable arsenal and then fulfill your mandate by going head-to-head with the devious element. The action is fast. And the opposing forces are wicked. But if you are smart, diligent and quick, you will prevail in a masterfully fought campaign to save our planet from perilous collapse.
28;Space Quest: The Sarien Encounter;Point-and-click;Sierra On-Line;DOS;1986-10-1;https://images.igdb.com/igdb/image/upload/t_cover_big/co321o.jpg;He's out to clean up the universe......But he doesn't do windows. Strap into your computer station and prepare for blast-off. If the thrilling graphics don't blow you off your chair, the laughs will have you rolling on the floor. If you can help Roger Wilco he could use it.Hey, wake up! Roger Wilco's the chief sanitation engineer (a.k.a. Janitor) on the starship Arcada. His mission: to scrub dirty decks... to replace burned-out lightbulbs... to boldly go where no man has swept the floor!But while he was napping in the broom closet, his starship was hijacked by the Sarien Stormtroopers. Now the top-secret Star Generator's been stolen. And if Roger doesn't get it back, the universe as we know it is toast!Kaboom! The Two Guys from Andromeda often travel the cosmos under the aliases of Scott Murphy and Mark Crowe. They're best known for their award-winning Space Quest series and their frequent sightings with Elvis.
29;Space Quest II: Vohaul's Revenge;Point-and-click;Kixx;DOS;1987-11-14;https://images.igdb.com/igdb/image/upload/t_cover_big/co5v4q.jpg;Just when you thought it was safe to go back into space, He's Back! And he wants revenge! Sludge Vohaul, the demented evil scientist (whose sinister plan you unknowingly foiled in our last episode), is seething over his Sarien slip-up. Madder than a drenched Astrochicken, (and still determined to rule the galaxy) Vohaul has devised a new plan. A nasty plan. A plan so evil that only one as wickedly sadistic as he could imagine it. Yes, the worst nightmare ever is about to come knocking on your door- and it won't take No for an answer!It's The Invasion of the Insurance Salesmen! Hordes and hordes of pushy, obnoxious (genetically engineered) salesmen will soon be dumped upon your home planet- unless somebody dumps on Vohaul first. And who knows more about getting dumped on than you?Roger Wilco to the rescue! Once again, you, Roger Wilco, sanitation engineer and involuntary hero, must don your sanitary space mittens and prepare for the onslaught of evil that Vohaul has prepared. A chore not for queasy or fainthearted. And if you can stomach that…Get ready for the Granddaddy of Gross. The Emperor of Evil. The first name is Nastiness, Sludge Vohaul himself! With nothing to protect you but your wits and your wet mop, you haven't got a chance! (But that's what makes the game so much fun!)Have fun staying out of trouble! Beat the odds. Conquer insurmountable obstacles. Defy gravity. Cry for help. Misfortune awaits you at every turn… Boggle your way through the humid stenchlands of the jungle planet Labion. Blunder your way onto the asteroid fortress of the slime-sucking Vohaul. Flounder your way through more perilous escapades than you can wiggle a space worm at.Guaranteed to make you laugh! Packed with comedy, tragedy, suspense, horror, and many other nouns, Space Quest II will tickle your funny bone and relieve that heavy feeling in your wallet.
30;Space Quest III: The Pirates Of Pestulon;Point-and-click;Sierra On-Line;DOS;1989-03-24;https://images.igdb.com/igdb/image/upload/t_cover_big/co4zpe.jpg;Have you seen 2 Guys From Andromeda? Software Authors Pirated?The Two Guys from Andromeda, designers of the graphically extravagant (and satirically sensational) Space Quest series, have disappeared into this oxygen! Hysterical game fanatics around the world await word on the whereabouts of these celestial celebrities!Who could be the mastermind behind this evil plot?Could it be the Pirates of Pestulon, known for their plundering, preying and unprincipled practices? Or maybe the legions of Space Quest fans who would kill to be the first to play Space Quest III (the graphic adventure game with the closest thing yet to motion picture-quality animation). Not to be forgotten are the monkey-suited minions of Sludge Vohaul (from our last episode), who would love to make banana pudding out of those responsible for putting them behind bars.Who are the dirty deed doers behind our daring duo's demise? Is it too late to save the two guys from a disgusting and downright despicable doom?Holy SpaceWaste, space adventurers, find out for yourself as Roger Wilco, intergalactic garbagemen, returns to the rescue!
31;Space Quest IV: Roger Wilco and the Time Rippers;Point-and-click;Sierra On-Line;PC;1991-01-1;https://images.igdb.com/igdb/image/upload/t_cover_big/co5v4t.jpg;May the farce be with you! Get ready for a trek through time with everybody's favorite intergalactic sanitation engineer and freelance hero, Roger Wilco. In their latest spaced-out space opera, the Two Guys From Andomeda take on science fiction (and just about everything else!) is a spoofy sendup that will leave you laughing.Roger Wilco embarks on a topsy-turvy trip through space and time in this fourth chapter in the award-winning Space Quest series, Roger Wilco and the Time Rippers. From a nostalgic look at his past in Space Quest I to a terrifying visit to the future of Space Quest XII, Roger's on the run again.And hot on his ion trail are the Sequel Police, deadly crosstime assassins who are out to put an end to Roger and all of his Space Quest nonsense once and for all.Once again it's up to Roger Wilco to save his future- or is that his past?- of the Space Quest series, and keep the universe safe for fair play, bad jokes, and lots more Space Quest Games.
32;Space Quest V: The Next Mutation;Point-and-click;Sierra;DOS;1993-02-5;https://images.igdb.com/igdb/image/upload/t_cover_big/co5v4u.jpg;After travelling back and forth through time in the previous game, Roger Wilco is back in the Starfleet Acadamy, serving as both a cadet and a janitor. Cheating his way through the Starfleet Aptitude Test, Roger is finally given the rank of captain, his own ship (a garbage scow) and a mission: to explore strange new worlds (which no man in his right mind would explore), to seek out new life and new civilizations (which grew out of the massive amounts of trash Roger will collect on his way), to boldly go where no man has gone before. Step by step Roger will have to unveil a galaxy-wide biohazardous material dumping scheme, solve the mystery of the disappearance of a fellow Starfleet captain and his ship, and confront an agent of an old nemesis.
33;Space Quest 6: The Spinal Frontier;Point-and-click;Sierra;PC;1995-02-1;https://images.igdb.com/igdb/image/upload/t_cover_big/co6iuq.jpg;Roger Wilco, the brave interstellar janitor who has already saved the universe from many great dangers, is now in a very embarrassing position. His commanders show no respect for his courageous actions in the previous game. Instead, he is being accused of all kinds of violations against the galactic law, is deprived of all the honors he got in the previous game, and as a token of mercy, is allowed to return to his old job - cleaning closets... But those unfortunate events are just the beginning of much bigger troubles Roger will get into. Once again, the future of galaxy depends on him!
34;Giants: Citizen Kabuto;Shooter;Planet Moon Studios;PC;2000-12-6;https://images.igdb.com/igdb/image/upload/t_cover_big/co1xnq.jpg;Before man climbed down from the trees to shop in megastores and drink cappuccino, before the Earth wadded itself into a cool blue ball, before the Moon even existed, there was the Island. The Island, a massive fragment of a long-lost planet, hurtling blindly through space. Upon the surface of this paradise wanders the giant, Kabuto. Little does Kabuto know that the Island was home to others before him. In the oceans, there dwells a matriarchal race called the Sea Reapers. In their pride, they created Kabuto, as a defense against intruders. But Kabuto became conscious of himself, his loneliness, his pain - and he went berserk.Space castaways, the Meccs piloted their ship through space, looking for their missing friends. If you haven’t guessed already, they ended up on the Island. Faced with yet another unscheduled layover while on their way to Planet Majorca, the Meccs decide to make the best of their temporary home. Just their luck - the natives are already embroiled in their own little war, and the Mecc visitors are most unwelcome!Meccaryns... Sea Reapers... Kabuto... One island isn’t big enough for the three of them.
35;Dungeon Keeper;Real Time Strategy (RTS);Bullfrog Productions;PC;1997-06-26;https://images.igdb.com/igdb/image/upload/t_cover_big/co3wg6.jpg;"Dungeon Keeper is a strategy video game in which the player attempts to build and manage a dungeon or lair while protecting it from invading 'hero' characters intent on stealing the player's accumulated treasures and killing various monsters. This was Peter Molyneux's final project with Bullfrog before he left the company in August 1997 to form Lionhead Studios.The player uses a mouse, represented in-game as a hand, to interact with a bar on the left-hand side of the screen, allowing them to select which rooms to build and which spells to cast. The player can also use the hand to pick up creatures and objects in the dungeon and carry them around, allowing for tactics such as gathering an assault force and dropping off the creatures en masse once a foothold has been established. The hand also allows the player to ""slap"" objects and thereby interact with them: creatures will hurry up when slapped, some traps will be triggered and prisoners in the Torture Chamber can be tortured.The main game view is in isometric perspective; this view can be zoomed and rotated. The player also has the option of possessing one of their creatures, and seeing the dungeon from that creature's first-person perspective, as well as using their attacks and abilities. The map is divided into a grid of rectangles, most of which are invisible. A smaller part of the map is shown as a minimap in the top left corner of the screen.A world map is also available, and at the beginning of the game the player is allocated one of the 20 regions of a fictional, idyllic country to destroy. As the player progresses through these regions, each of which represents a level of the game, the areas previously conquered will appear ransacked, twisted, and evil. Before starting a new level, the Mentor will tell the player about the current region and its attributes. After completing a level, the Mentor will talk about the ""improvement"" of the destroyed region: ""The streets run with the blood of the slain. Screams of pain and howls of anguish rip the night air like a vengeful siren's song. This really is somewhere you can take the kids for the weekend.""The Dungeon Heart represents the Dungeon Keeper's own link to the world. If it is destroyed, the player loses the level, and must restart. Along with the heart, the player begins with a small number of imps, the generic work force for all dungeon activities: they can dig tunnels into the surrounding soil, capture enemy rooms and Portals, mine gold and gems, set traps, and even attack when desperate or threatened. Slapping creatures forces them to work faster for a while, but removes some of their health and happiness.Once the Imps are busily working, the player must then set up a basic infrastructure: Lairs for monsters, a Hatchery (where chickens, which serve as food for the minions, are bred), and a Treasury for storing gold. After connecting the dungeon to a ""Portal"", monsters will arrive. As the game progresses, the player moves along a technology tree, unlocking further rooms.The dungeon has a fleshed-out ecology: some creatures are natural enemies. Flies and Spiders are often found at odds with one another, while a Horned Reaper, if it has gone berserk, will attack all creatures in its path. The goals for each level are fairly straightforward: they generally fall along the lines of eliminating the heroic force or destroying all other Dungeon Keepers on the level."
36;Dungeon Keeper 2;Real Time Strategy (RTS);Electronic Arts;PC;1999-06-30;https://images.igdb.com/igdb/image/upload/t_cover_big/co22na.jpg;Like its predecessor, players take the role of a dungeon keeper, building and defending an underground dungeon from the would-be heroes that invade it, as well as from other keepers. In the game's campaign mode, the player is charged with recovering the portal gems from each area in order to open a portal to the surface.
37;Dead Space;Shooter;EA Redwood Shores;PC;2008-10-14;https://images.igdb.com/igdb/image/upload/t_cover_big/co2g7w.jpg;Dead Space is a 2008 science fiction survival horror video game developed by EA Redwood Shores (now Visceral Games) for Microsoft Windows, PlayStation 3 and Xbox 360. The game was released on all platforms through October 2008. The game puts the player in control of an engineer named Isaac Clarke, who battles the Necromorphs, reanimated human corpses, aboard an interstellar mining ship, the USG Ishimura.
38;Dead Space 2;Shooter;Electronic Arts;PC;2011-01-25;https://images.igdb.com/igdb/image/upload/t_cover_big/co20xq.jpg;Three years after the Necromorph infestation aboard the USS Ishimura, Isaac Clarke awakens from a coma, confused, disoriented, and on a space station called The Sprawl. Just as his health begins to improve, The Sprawl is overrun with even more advanced forms of the alien-zombie hybrids.
39;Mafia;Fighting;Illusion Softworks;PC;2002-08-29;https://images.igdb.com/igdb/image/upload/t_cover_big/co1qrt.jpg;Mafia is a 3D action crime epic set in the seedy underworld of the 1930's. Rise from the lowly but well-dressed Footsoldier, to an envied and feared Made Man in an era of mob hits, car chases, and bootlegging. Earn a reputation as a tough enforcer, daring getaway driver, and deadly hitman in your quest for respect and power within the Salieri Family.
40;Mafia II;Shooter;2K Czech;PC;2010-08-24;https://images.igdb.com/igdb/image/upload/t_cover_big/co2n13.jpg;"The storyline for Mafia II is a gritty drama and chronicles the rise of Vito Scaletta, the son of Sicilian immigrants. As the game progresses, Vito joins the Falcone crime family and becomes ""a made man"" along with his best friend Joe Barbaro."
41;Deus Ex;Shooter;Aspyr Media;PC;2000-06-26;https://images.igdb.com/igdb/image/upload/t_cover_big/co1r7n.jpg;A philosophical first-person WRPG set in a dystopian 2052 in which JC Denton, a nano-augmented agent for the anti-terrorist organization UNATCO, is tasked with stopping the invasion of Liberty Island by the terrorist group NSF. As events unfold, Denton finds that he plays a large part in a world-spanning conspiracy which forces him to ponder his allegiances, beliefs, morality, and view of right and wrong.
42;Deus Ex: Invisible War;Shooter;Ion Storm;PC;2003-12-2;https://images.igdb.com/igdb/image/upload/t_cover_big/co1v3e.jpg;Several religious and political factions see an opportunity to re-shape a worldwide government to their agendas. In this techno-nightmare, take part in the dark struggle to raise the world from its own ashes.This dynamic and innovative 1st person-action/adventure brings a level of reality unprecedented in a videogame. Biotech modifications allow players to see through walls, leap 40 feet into the air, regenerate critical body damage or render yourself radar invisible. Globe-hop to real world locations such as Seattle, Antarctica, and Cairo.
43;Deus Ex: Human Revolution;Shooter;Square Enix;PC;2011-08-23;https://images.igdb.com/igdb/image/upload/t_cover_big/co1rd2.jpg;In Deus Ex: Human Revolution you play Adam Jensen, a security specialist, handpicked to oversee the defense of one of America's most experimental biotechnology firms. But when a black ops team breaks in and kills the scientists you were hired to protect, everything you thought you knew about your job changes. At a time when scientific advancements are routinely turning athletes, soldiers and spies into super-enhanced beings, someone is working very hard to ensure mankind's evolution follows a particular path. You need to discover why - because the decisions you take and the choices you make will be the only things that can determine mankind's future.
44;Overlord;Role-playing (RPG);Triumph Studios;PC;2007-06-26;https://images.igdb.com/igdb/image/upload/t_cover_big/co247s.jpg;"Overlord is an action role-playing video game set in an alternate world, where the player takes the role of a resurrected warrior known as ""The Overlord"" who has control over hordes of gremlin-like creatures known as ""Minions"". The player must defeat seven corrupt ruling heroes in order to reconquer the lands and establish his lordship over its inhabitants. The game features a corruption feature, similar to that of the Fable games, but allowing the player to ""be evil... or really evil"", where certain actions and choices affect different aspects of the story and gameplay. While the Overlord is controlled in a third person perspective, the way minions are controlled brings elements of real-time strategy and upgrades bring those of role-playing games. The game uses dark humour, and is a satirical parody of the traditional fantasy setting and plot"
45;Overlord: Raising Hell;Role-playing (RPG);Triumph Studios;PC;2008-02-15;https://images.igdb.com/igdb/image/upload/t_cover_big/co247r.jpg;Overlord: Raising Hell is the expansion to the 2007 action role-playing game Overlord, which adds an extension to the game's single player with new levels, plot, enemies and weapons. Along with an extended story, Raising Hell also features new weapons and armor to be created in the forge of the Overlord's Tower. In the game's seriously warped fantasy world, players will become the Overlord and get first-hand experience of how absolute power corrupts absolutely.
46;Overlord II;Role-playing (RPG);Triumph Studios;PC;2009-06-23;https://images.igdb.com/igdb/image/upload/t_cover_big/co247q.jpg;Overlord II, sequel to the critically acclaimed cult hit, sees the return of the chaotic Minions and their new Dark Master. Bigger, badder and more beautifully destructive, Overlord 2 has a Glorious Empire to smash, a massive Netherworld to revive, Minion mounts to mobilize, a trio of mistresses to woo, War Machines to crush opposition and lots of cute creatures to, err... murder (and a mini-map)
